Date,WithdrawalAmount,DayOfWeek,IsWeekend,Month,IsHolidayIndicator
2023-07-16,13621529,Sunday,1,7,0
2023-07-17,23127888,Monday,0,7,0
2023-07-18,22851649,Tuesday,0,7,0
2023-07-19,22229456,Wednesday,0,7,0
2023-07-20,24430504,Thursday,0,7,0
2023-07-21,29365126,Friday,0,7,0
2023-07-22,26095948,Saturday,1,7,0
2023-07-23,13695128,Sunday,1,7,0
2023-07-24,21488075,Monday,0,7,0
2023-07-25,22927364,Tuesday,0,7,0
2023-07-26,21622991,Wednesday,0,7,0
2023-07-27,22899230,Thursday,0,7,0
2023-07-28,27079632,Friday,0,7,0
2023-07-29,33099621,Saturday,1,7,0
2023-07-30,17721227,Sunday,1,7,0
2023-07-31,29040993,Monday,0,7,0
2023-08-01,29602774,Tuesday,0,8,0
2023-08-02,28462858,Wednesday,0,8,0
2023-08-03,30789467,Thursday,0,8,0
2023-08-04,29243712,Friday,0,8,0
2023-08-05,26855253,Saturday,1,8,0
2023-08-06,14587033,Sunday,1,8,0
2023-08-07,23757662,Monday,0,8,0
2023-08-08,22473938,Tuesday,0,8,0
2023-08-09,22520635,Wednesday,0,8,0
2023-08-10,24719216,Thursday,0,8,0
2023-08-11,28505947,Friday,0,8,0
2023-08-12,25243578,Saturday,1,8,0
2023-08-13,13315459,Sunday,1,8,0
2023-08-14,24297000,Monday,0,8,0
2023-08-15,26072535,Tuesday,0,8,0
2023-08-16,24915956,Wednesday,0,8,0
2023-08-17,23660584,Thursday,0,8,0
2023-08-18,28152008,Friday,0,8,0
2023-08-19,24964263,Saturday,1,8,0
2023-08-20,12644736,Sunday,1,8,0
2023-08-21,30597741,Monday,0,8,0
2023-08-22,24781029,Tuesday,0,8,0
2023-08-23,22207034,Wednesday,0,8,0
2023-08-24,24001351,Thursday,0,8,0
2023-08-25,26269604,Friday,0,8,0
2023-08-26,26514974,Saturday,1,8,0
2023-08-27,12195215,Sunday,1,8,0
2023-08-28,23723010,Monday,0,8,0
2023-08-29,29236076,Tuesday,0,8,0
2023-08-30,29491771,Wednesday,0,8,0
2023-08-31,29872688,Thursday,0,8,0
2023-09-01,35205390,Friday,0,9,0
2023-09-02,36681083,Saturday,1,9,0
2023-09-03,15770471,Sunday,1,9,0
2023-09-04,23222347,Monday,0,9,0
2023-09-05,25733353,Tuesday,0,9,0
2023-09-06,26438930,Wednesday,0,9,0
2023-09-07,23680937,Thursday,0,9,0
2023-09-08,28504006,Friday,0,9,0
2023-09-09,27346642,Saturday,1,9,0
2023-09-10,15403490,Sunday,1,9,0
2023-09-11,23463592,Monday,0,9,0
2023-09-12,23563626,Tuesday,0,9,0
2023-09-13,24220663,Wednesday,0,9,0
2023-09-14,25581603,Thursday,0,9,0
2023-09-15,28641835,Friday,0,9,0
2023-09-16,26959993,Saturday,1,9,0
2023-09-17,12038254,Sunday,1,9,0
2023-09-18,24415484,Monday,0,9,0
2023-09-19,23660994,Tuesday,0,9,0
2023-09-20,23738424,Wednesday,0,9,0
2023-09-21,24610584,Thursday,0,9,0
2023-09-22,29732578,Friday,0,9,0
2023-09-23,28375824,Saturday,1,9,0
2023-09-24,13806775,Sunday,1,9,0
2023-09-25,25198655,Monday,0,9,0
2023-09-26,24138659,Tuesday,0,9,0
2023-09-27,23599994,Wednesday,0,9,0
2023-09-28,31650009,Thursday,0,9,0
2023-09-29,37930050,Friday,0,9,0
2023-09-30,54224038,Saturday,1,9,0
2023-10-01,8485523,Sunday,1,10,1
2023-10-02,33678170,Monday,0,10,0
2023-10-03,31411129,Tuesday,0,10,0
2023-10-04,22862259,Wednesday,0,10,0
2023-10-05,24234958,Thursday,0,10,0
2023-10-06,30844970,Friday,0,10,0
2023-10-07,27820053,Saturday,1,10,0
2023-10-08,14313026,Sunday,1,10,0
2023-10-09,23090787,Monday,0,10,0
2023-10-10,25370260,Tuesday,0,10,0
2023-10-11,24352445,Wednesday,0,10,0
2023-10-12,24359409,Thursday,0,10,0
2023-10-13,29120176,Friday,0,10,0
2023-10-14,27961238,Saturday,1,10,0
2023-10-15,13900717,Sunday,1,10,0
2023-10-16,24852888,Monday,0,10,0
2023-10-17,24328575,Tuesday,0,10,0
2023-10-18,23673031,Wednesday,0,10,0
2023-10-19,25916027,Thursday,0,10,0
2023-10-20,31474460,Friday,0,10,0
2023-10-21,24882262,Saturday,1,10,0
2023-10-22,13641031,Sunday,1,10,0
2023-10-23,25511039,Monday,0,10,0
2023-10-24,24905522,Tuesday,0,10,0
2023-10-25,23654505,Wednesday,0,10,0
2023-10-26,23866193,Thursday,0,10,0
2023-10-27,30325393,Friday,0,10,0
2023-10-28,29914361,Saturday,1,10,0
2023-10-29,16139826,Sunday,1,10,0
2023-10-30,33546835,Monday,0,10,0
2023-10-31,31227384,Tuesday,0,10,0
2023-11-01,30903660,Wednesday,0,11,0
2023-11-02,32072017,Thursday,0,11,0
2023-11-03,38143374,Friday,0,11,0
2023-11-04,29571922,Saturday,1,11,0
2023-11-05,14718951,Sunday,1,11,0
2023-11-06,27554661,Monday,0,11,0
2023-11-07,26167919,Tuesday,0,11,0
2023-11-08,24823888,Wednesday,0,11,0
2023-11-09,28138588,Thursday,0,11,0
2023-11-10,30754512,Friday,0,11,0
2023-11-11,29172980,Saturday,1,11,0
2023-11-12,13775916,Sunday,1,11,0
2023-11-13,25764924,Monday,0,11,0
2023-11-14,24128061,Tuesday,0,11,0
2023-11-15,25583323,Wednesday,0,11,0
2023-11-16,24891905,Thursday,0,11,0
2023-11-17,31303701,Friday,0,11,0
2023-11-18,28134643,Saturday,1,11,0
2023-11-19,15547407,Sunday,1,11,0
2023-11-20,26686232,Monday,0,11,0
2023-11-21,27173432,Tuesday,0,11,0
2023-11-22,25407574,Wednesday,0,11,0
2023-11-23,24555411,Thursday,0,11,0
2023-11-24,30467488,Friday,0,11,0
2023-11-25,27128215,Saturday,1,11,0
2023-11-26,13652532,Sunday,1,11,0
2023-11-27,27704057,Monday,0,11,0
2023-11-28,32974162,Tuesday,0,11,0
2023-11-29,30769822,Wednesday,0,11,0
2023-11-30,32751991,Thursday,0,11,0
2023-12-01,39326898,Friday,0,12,0
2023-12-02,35225222,Saturday,1,12,0
2023-12-03,17551108,Sunday,1,12,0
2023-12-04,26431978,Monday,0,12,0
2023-12-05,26657562,Tuesday,0,12,0
2023-12-06,25511945,Wednesday,0,12,0
2023-12-07,23949218,Thursday,0,12,0
2023-12-08,31200839,Friday,0,12,0
2023-12-09,28856385,Saturday,1,12,0
2023-12-10,14883192,Sunday,1,12,0
2023-12-11,28096929,Monday,0,12,0
2023-12-12,22990214,Tuesday,0,12,0
2023-12-13,24218944,Wednesday,0,12,0
2023-12-14,27468822,Thursday,0,12,0
2023-12-15,29122265,Friday,0,12,0
2023-12-16,30655790,Saturday,1,12,0
2023-12-17,14900950,Sunday,1,12,0
2023-12-18,27320618,Monday,0,12,0
2023-12-19,24869283,Tuesday,0,12,0
2023-12-20,26001367,Wednesday,0,12,0
2023-12-21,28167438,Thursday,0,12,0
2023-12-22,31416754,Friday,0,12,0
2023-12-23,29327353,Saturday,1,12,0
2023-12-24,22849649,Sunday,1,12,0
2023-12-25,13318506,Monday,0,12,1
2023-12-26,8808173,Tuesday,0,12,1
2023-12-27,24974254,Wednesday,0,12,0
2023-12-28,27485123,Thursday,0,12,0
2023-12-29,41242777,Friday,0,12,0
2023-12-30,36095948,Saturday,1,12,0
2023-12-31,28824177,Sunday,1,12,0
2024-01-01,13674662,Monday,0,1,1
2024-01-02,32121987,Tuesday,0,1,0
2024-01-03,31368441,Wednesday,0,1,0
2024-01-04,27398859,Thursday,0,1,0
2024-01-05,32449885,Friday,0,1,0
2024-01-06,29339708,Saturday,1,1,0
2024-01-07,16268330,Sunday,1,1,0
2024-01-08,27725284,Monday,0,1,0
2024-01-09,26924557,Tuesday,0,1,0
2024-01-10,26061969,Wednesday,0,1,0
2024-01-11,30086912,Thursday,0,1,0
2024-01-12,31339110,Friday,0,1,0
2024-01-13,27049614,Saturday,1,1,0
2024-01-14,16677220,Sunday,1,1,0
2024-01-15,26269561,Monday,0,1,0
2024-01-16,26165098,Tuesday,0,1,0
2024-01-17,27097836,Wednesday,0,1,0
2024-01-18,25475715,Thursday,0,1,0
2024-01-19,30220139,Friday,0,1,0
2024-01-20,27663988,Saturday,1,1,0
2024-01-21,13849126,Sunday,1,1,0
2024-01-22,27481130,Monday,0,1,0
2024-01-23,26793106,Tuesday,0,1,0
2024-01-24,25970274,Wednesday,0,1,0
2024-01-25,25825402,Thursday,0,1,0
2024-01-26,29074745,Friday,0,1,0
2024-01-27,29807933,Saturday,1,1,0
2024-01-28,14306403,Sunday,1,1,0
2024-01-29,35214403,Monday,0,1,0
2024-01-30,34493207,Tuesday,0,1,0
2024-01-31,33134408,Wednesday,0,1,0
2024-02-01,36346257,Thursday,0,2,0
2024-02-02,41281316,Friday,0,2,0
2024-02-03,38894852,Saturday,1,2,0
2024-02-04,14088151,Sunday,1,2,0
2024-02-05,26980156,Monday,0,2,0
2024-02-06,26642473,Tuesday,0,2,0
2024-02-07,26879856,Wednesday,0,2,0
2024-02-08,27316184,Thursday,0,2,0
2024-02-09,32820557,Friday,0,2,0
2024-02-10,29692537,Saturday,1,2,0
2024-02-11,14874957,Sunday,1,2,0
2024-02-12,28346035,Monday,0,2,0
2024-02-13,24071259,Tuesday,0,2,0
2024-02-14,24397567,Wednesday,0,2,0
2024-02-15,26101399,Thursday,0,2,0
2024-02-16,29452501,Friday,0,2,0
2024-02-17,29320812,Saturday,1,2,0
2024-02-18,16013899,Sunday,1,2,0
2024-02-19,27100071,Monday,0,2,0
2024-02-20,26890398,Tuesday,0,2,0
2024-02-21,27460918,Wednesday,0,2,0
2024-02-22,29699490,Thursday,0,2,0
2024-02-23,32392687,Friday,0,2,0
2024-02-24,31973821,Saturday,1,2,0
2024-02-25,15272255,Sunday,1,2,0
2024-02-26,26538780,Monday,0,2,0
2024-02-27,33525055,Tuesday,0,2,0
2024-02-28,31738865,Wednesday,0,2,0
2024-02-29,34971998,Thursday,0,2,0
2024-03-01,41317098,Friday,0,3,0
2024-03-02,39957056,Saturday,1,3,0
2024-03-03,21634800,Sunday,1,3,0
2024-03-04,25980862,Monday,0,3,0
2024-03-05,27380388,Tuesday,0,3,0
2024-03-06,25054089,Wednesday,0,3,0
2024-03-07,28906109,Thursday,0,3,0
2024-03-08,32611832,Friday,0,3,0
2024-03-09,28283431,Saturday,1,3,0
2024-03-10,16458401,Sunday,1,3,0
2024-03-11,27072327,Monday,0,3,0
2024-03-12,26343498,Tuesday,0,3,0
2024-03-13,25131263,Wednesday,0,3,0
2024-03-14,36613056,Thursday,0,3,0
2024-03-15,33461615,Friday,0,3,0
2024-03-16,30474233,Saturday,1,3,0
2024-03-17,15779097,Sunday,1,3,0
2024-03-18,28411305,Monday,0,3,0
2024-03-19,28797269,Tuesday,0,3,0
2024-03-20,26160613,Wednesday,0,3,0
2024-03-21,26708695,Thursday,0,3,0
2024-03-22,34419085,Friday,0,3,0
2024-03-23,30432239,Saturday,1,3,0
2024-03-24,16842797,Sunday,1,3,0
2024-03-25,28566470,Monday,0,3,0
2024-03-26,27091177,Tuesday,0,3,0
2024-03-27,27153410,Wednesday,0,3,0
2024-03-28,31168936,Thursday,0,3,0
2024-03-29,45155191,Friday,0,3,0
2024-03-30,39754133,Saturday,1,3,0
2024-03-31,20048970,Sunday,1,3,0
2024-04-01,37472376,Monday,0,4,0
2024-04-02,33971268,Tuesday,0,4,0
2024-04-03,34768030,Wednesday,0,4,0
2024-04-04,28794348,Thursday,0,4,0
2024-04-05,33769880,Friday,0,4,0
2024-04-06,30066580,Saturday,1,4,0
2024-04-07,13548341,Sunday,1,4,0
2024-04-08,25690884,Monday,0,4,0
2024-04-09,26075837,Tuesday,0,4,0
2024-04-10,26365932,Wednesday,0,4,0
2024-04-11,28581219,Thursday,0,4,0
2024-04-12,35995384,Friday,0,4,0
2024-04-13,32681054,Saturday,1,4,0
2024-04-14,14411729,Sunday,1,4,0
2024-04-15,28905310,Monday,0,4,0
2024-04-16,27101985,Tuesday,0,4,0
2024-04-17,26706555,Wednesday,0,4,0
2024-04-18,29322077,Thursday,0,4,0
2024-04-19,34462739,Friday,0,4,0
2024-04-20,30969138,Saturday,1,4,0
2024-04-21,17080045,Sunday,1,4,0
2024-04-22,27117045,Monday,0,4,0
2024-04-23,27754040,Tuesday,0,4,0
2024-04-24,30536678,Wednesday,0,4,0
2024-04-25,29500305,Thursday,0,4,0
2024-04-26,35664728,Friday,0,4,0
2024-04-27,31661699,Saturday,1,4,0
2024-04-28,20950493,Sunday,1,4,0
2024-04-29,36677994,Monday,0,4,0
2024-04-30,35450857,Tuesday,0,4,0
2024-05-01,33949183,Wednesday,0,5,0
2024-05-02,38113902,Thursday,0,5,0
2024-05-03,42372375,Friday,0,5,0
2024-05-04,32544858,Saturday,1,5,0
2024-05-05,17258509,Sunday,1,5,0
2024-05-06,29313651,Monday,0,5,0
2024-05-07,27618620,Tuesday,0,5,0
2024-05-08,28020151,Wednesday,0,5,0
2024-05-09,29068522,Thursday,0,5,0
2024-05-10,35330900,Friday,0,5,0
2024-05-11,29436749,Saturday,1,5,0
2024-05-12,15483148,Sunday,1,5,0
2024-05-13,26369215,Monday,0,5,0
2024-05-14,26162697,Tuesday,0,5,0
2024-05-15,29329840,Wednesday,0,5,0
2024-05-16,30767302,Thursday,0,5,0
2024-05-17,33322393,Friday,0,5,0
2024-05-18,29994982,Saturday,1,5,0
2024-05-19,12111285,Sunday,1,5,0
2024-05-20,28378537,Monday,0,5,0
2024-05-21,31405165,Tuesday,0,5,0
2024-05-22,28239690,Wednesday,0,5,0
2024-05-23,28993012,Thursday,0,5,0
2024-05-24,35021480,Friday,0,5,0
2024-05-25,30048306,Saturday,1,5,0
2024-05-26,15668244,Sunday,1,5,0
2024-05-27,29346785,Monday,0,5,0
2024-05-28,28243712,Tuesday,0,5,0
2024-05-29,36611402,Wednesday,0,5,0
2024-05-30,51431892,Thursday,0,5,0
2024-05-31,45117422,Friday,0,5,0
2024-06-01,40355043,Saturday,1,6,0
2024-06-02,21828835,Sunday,1,6,0
2024-06-03,39708592,Monday,0,6,0
2024-06-04,27197438,Tuesday,0,6,0
2024-06-05,26735557,Wednesday,0,6,0
2024-06-06,31750922,Thursday,0,6,0
2024-06-07,34455251,Friday,0,6,0
2024-06-08,34234477,Saturday,1,6,0
2024-06-09,15611030,Sunday,1,6,0
2024-06-10,31397478,Monday,0,6,0
2024-06-11,28775885,Tuesday,0,6,0
2024-06-12,28371645,Wednesday,0,6,0
2024-06-13,32191152,Thursday,0,6,0
2024-06-14,34376299,Friday,0,6,0
2024-06-15,31262004,Saturday,1,6,0
2024-06-16,15669797,Sunday,1,6,0
2024-06-17,30196387,Monday,0,6,0
2024-06-18,26637203,Tuesday,0,6,0
2024-06-19,28998472,Wednesday,0,6,0
2024-06-20,29522153,Thursday,0,6,0
2024-06-21,36538175,Friday,0,6,0
2024-06-22,29454195,Saturday,1,6,0
2024-06-23,15284784,Sunday,1,6,0
2024-06-24,27464517,Monday,0,6,0
2024-06-25,27740191,Tuesday,0,6,0
2024-06-26,28599830,Wednesday,0,6,0
2024-06-27,30129347,Thursday,0,6,0
2024-06-28,44658149,Friday,0,6,0
2024-06-29,41758941,Saturday,1,6,0
2024-06-30,21271912,Sunday,1,6,0
2024-07-01,36848345,Monday,0,7,0
2024-07-02,38029063,Tuesday,0,7,0
2024-07-03,37227592,Wednesday,0,7,0
2024-07-04,31016069,Thursday,0,7,0
2024-07-05,36052507,Friday,0,7,0
2024-07-06,33328911,Saturday,1,7,0
2024-07-07,19217836,Sunday,1,7,0
2024-07-08,29854533,Monday,0,7,0
2024-07-09,28675876,Tuesday,0,7,0
2024-07-10,27490066,Wednesday,0,7,0
2024-07-11,29231758,Thursday,0,7,0
2024-07-12,33769419,Friday,0,7,0
2024-07-13,31865844,Saturday,1,7,0
2024-07-14,16448327,Sunday,1,7,0
2024-07-15,30550773,Monday,0,7,0
2024-07-16,29281829,Tuesday,0,7,0
2024-07-17,27589211,Wednesday,0,7,0
2024-07-18,31976446,Thursday,0,7,0
2024-07-19,36604464,Friday,0,7,0
2024-07-20,32989924,Saturday,1,7,0
2024-07-21,15725811,Sunday,1,7,0
2024-07-22,30969906,Monday,0,7,0
2024-07-23,29590551,Tuesday,0,7,0
2024-07-24,26775085,Wednesday,0,7,0
2024-07-25,30790936,Thursday,0,7,0
2024-07-26,36106519,Friday,0,7,0
2024-07-27,32118099,Saturday,1,7,0
2024-07-28,16941725,Sunday,1,7,0
2024-07-29,36861076,Monday,0,7,0
2024-07-30,39530887,Tuesday,0,7,0
2024-07-31,38655785,Wednesday,0,7,0
2024-08-01,39349973,Thursday,0,8,0
2024-08-02,46446954,Friday,0,8,0
2024-08-03,39558409,Saturday,1,8,0
2024-08-04,15166998,Sunday,1,8,0
2024-08-05,30073106,Monday,0,8,0
2024-08-06,28107967,Tuesday,0,8,0
2024-08-07,29967295,Wednesday,0,8,0
2024-08-08,33884586,Thursday,0,8,0
2024-08-09,34429195,Friday,0,8,0
2024-08-10,32470694,Saturday,1,8,0
2024-08-11,17145243,Sunday,1,8,0
2024-08-12,32820652,Monday,0,8,0
2024-08-13,28017090,Tuesday,0,8,0
2024-08-14,29449449,Wednesday,0,8,0
2024-08-15,33781638,Thursday,0,8,0
2024-08-16,33915347,Friday,0,8,0
2024-08-17,31991864,Saturday,1,8,0
2024-08-18,16305097,Sunday,1,8,0
2024-08-19,30008151,Monday,0,8,0
2024-08-20,30947911,Tuesday,0,8,0
2024-08-21,29560349,Wednesday,0,8,0
2024-08-22,28938980,Thursday,0,8,0
2024-08-23,37058359,Friday,0,8,0
2024-08-24,33098863,Saturday,1,8,0
2024-08-25,18728248,Sunday,1,8,0
2024-08-26,29982639,Monday,0,8,0
2024-08-27,29061429,Tuesday,0,8,0
2024-08-28,30097700,Wednesday,0,8,0
2024-08-29,41414609,Thursday,0,8,0
2024-08-30,47334237,Friday,0,8,0
2024-08-31,41221991,Saturday,1,8,0
2024-09-01,22546886,Sunday,1,9,0
2024-09-02,38212471,Monday,0,9,0
2024-09-03,38815306,Tuesday,0,9,0
2024-09-04,27478065,Wednesday,0,9,0
2024-09-05,32277982,Thursday,0,9,0
2024-09-06,35514267,Friday,0,9,0
2024-09-07,32383684,Saturday,1,9,0
2024-09-08,18097006,Sunday,1,9,0
2024-09-09,31444247,Monday,0,9,0
2024-09-10,29330356,Tuesday,0,9,0
2024-09-11,31618568,Wednesday,0,9,0
2024-09-12,31165317,Thursday,0,9,0
2024-09-13,36835087,Friday,0,9,0
2024-09-14,34693106,Saturday,1,9,0
2024-09-15,16297299,Sunday,1,9,0
2024-09-16,47697884,Monday,0,9,0
2024-09-17,29562333,Tuesday,0,9,0
2024-09-18,29125400,Wednesday,0,9,0
2024-09-19,33830144,Thursday,0,9,0
2024-09-20,35472867,Friday,0,9,0
2024-09-21,31053410,Saturday,1,9,0
2024-09-22,19508904,Sunday,1,9,0
2024-09-23,34955382,Monday,0,9,0
