transaction_id,customer_id,transaction_amount,transaction_frequency,transaction_hour,distance_from_usual_location_km,account_age_days
TXN500154,CUST20849,50515,1,14,6.2,768
TXN500155,CUST20023,22221,1,16,6.5,3382
TXN500156,CUST20175,330734,2,8,5.7,2399
TXN500157,CUST20376,12014,4,11,2.3,3513
TXN500158,CUST20585,35609,1,16,0.4,1912
TXN500159,CUST20372,24516,1,15,27.0,3294
TXN500160,CUST20756,78524,1,10,4.7,1772
TXN500161,CUST20401,15263,1,18,1.6,2389
TXN500162,CUST20238,269424,1,13,7.1,2884
TXN500163,CUST20057,45862,1,10,0.4,2706
TXN500164,CUST20723,14902,1,12,1.5,3666
TXN500165,CUST20435,4398742,1,12,11.2,3199
TXN500166,CUST20605,93646,1,15,0.9,1037
TXN500167,CUST20009,27606,4,16,12.5,1110
TXN500168,CUST20837,12616,1,16,1.1,3437
TXN500169,CUST20891,39551,2,10,6.0,189
TXN500170,CUST20647,101690,1,18,5.2,3137
TXN500171,CUST20245,26552,1,19,0.9,3265
TXN500172,CUST20495,21350,1,11,2.1,2848
TXN500173,CUST20618,308473,1,9,2.0,2320
TXN500174,CUST20613,41134,1,16,2.3,2482
TXN500175,CUST20698,18460,1,15,3.4,3099
TXN500176,CUST20754,26043,1,17,1.2,2850
TXN500177,CUST20750,47404,1,9,2.6,267
TXN500178,CUST20280,480000,1,15,4.1,3007
TXN500179,CUST20133,63268,3,13,2.2,2518
TXN500180,CUST20898,20026,1,15,2.1,177
TXN500181,CUST20542,35166,1,13,11.4,2571
TXN500182,CUST20253,10930,4,15,1.6,2653
TXN500183,CUST20151,13873,2,18,3.7,1001
TXN500184,CUST20883,9921,1,14,1.3,2697
TXN500185,CUST20638,32369,1,15,7.6,3163
TXN500186,CUST20681,43483,1,6,5.2,94
TXN500187,CUST20225,34989,1,12,0.7,1769
TXN500188,CUST20894,23813,1,16,0.8,2960
TXN500189,CUST20183,21894,2,10,0.1,2726
TXN500190,CUST20627,163818,1,7,7.1,1806
TXN500191,CUST20240,80001,1,8,0.2,2503
TXN500192,CUST20388,480000,1,14,10.4,2427
TXN500193,CUST20707,31546,1,18,3.9,3130
TXN500194,CUST20197,39602,2,13,9.6,3255
TXN500195,CUST20427,10808,1,11,5.1,699
TXN500196,CUST20843,45496,1,12,2.3,2406
TXN500197,CUST20403,480000,1,18,0.3,854
TXN500198,CUST20766,25785,1,13,3.1,2393
TXN500199,CUST20678,90213,1,13,1.3,290
TXN500200,CUST20666,21975,1,14,1.7,683
TXN500201,CUST20814,142663,1,19,0.1,2263
TXN500202,CUST20424,12784,3,9,1.5,549
TXN500203,CUST20394,480000,1,11,6.0,1664
TXN500204,CUST20705,53441,1,16,0.6,2647
TXN500205,CUST20461,295320,1,14,12.0,3195
TXN500206,CUST20539,18169,1,14,8.8,419
TXN500207,CUST20222,51186,1,15,0.2,1541
TXN500208,CUST20670,175114,2,16,0.1,312
TXN500209,CUST20849,35445,1,15,0.7,768
TXN500210,CUST20125,7161,1,11,5.5,2967
TXN500211,CUST20692,14605,1,19,3.1,2641
TXN500212,CUST20233,13567,1,16,0.7,953
TXN500213,CUST20412,480000,1,17,0.4,2959
TXN500214,CUST20452,35642,1,10,0.9,2763
TXN500215,CUST20057,48880,1,17,2.3,2706
TXN500216,CUST20715,37492,3,11,5.1,1830
TXN500217,CUST20499,19766,1,5,1.5,3504
TXN500218,CUST20743,182507,1,10,1.5,805
TXN500219,CUST20191,19444,1,9,0.2,2964
TXN500220,CUST20593,8904,1,11,6.0,1089
TXN500221,CUST20014,4745,1,13,5.2,256
TXN500222,CUST20218,45987,1,19,6.5,2456
TXN500223,CUST20893,116187,4,21,3.1,3472
TXN500224,CUST20150,20987,1,19,3.3,1131
TXN500225,CUST20456,13015,1,18,5.6,1320
TXN500226,CUST20678,95441,2,11,0.3,290
TXN500227,CUST20102,54948,1,18,7.9,3155
TXN500228,CUST20455,25461,1,12,0.5,76
TXN500229,CUST20464,8657,1,15,2.8,3648
TXN500230,CUST20815,29876,1,15,14.8,255
TXN500231,CUST20472,231557,1,16,0.6,1373
TXN500232,CUST20864,183149,1,16,1.1,3776
TXN500233,CUST20844,362665,1,13,1.2,1224
TXN500234,CUST20009,30746,1,17,7.3,1110
TXN500235,CUST20229,326005,1,21,3.3,861
TXN500236,CUST20279,28068,1,13,11.5,173
TXN500237,CUST20165,43602,2,13,2.6,2783
TXN500238,CUST20812,12592,2,17,6.5,2297
TXN500239,CUST20614,11912,2,14,0.1,3648
TXN500240,CUST20464,11628,1,7,7.3,3648
TXN500241,CUST20502,28275,1,15,17.1,3323
TXN500242,CUST20327,43950,1,13,13.8,2452
TXN500243,CUST20270,163589,2,16,1.6,3344
TXN500244,CUST20781,18954,2,13,4.1,673
TXN500245,CUST20593,13908,2,19,1.8,1089
TXN500246,CUST20898,26420,1,14,3.1,177
TXN500247,CUST20840,3994019,1,12,3.0,1366
TXN500248,CUST20335,45863,1,15,4.7,839
TXN500249,CUST20474,4505,3,15,1.5,3356
TXN500250,CUST20304,9628,4,11,3.3,1279
TXN500251,CUST20451,18560,2,20,1.8,1365
TXN500252,CUST20120,8442,1,17,4.3,2169
TXN500253,CUST20812,20020,1,16,5.9,2297
TXN500254,CUST20389,29124,2,20,0.9,268
TXN500255,CUST20423,119464,1,16,1.9,913
TXN500256,CUST20700,34177,1,11,1.0,977
TXN500257,CUST20657,50470,1,13,11.7,885
TXN500258,CUST20789,19243,1,10,0.5,785
TXN500259,CUST20507,2771,1,20,3.9,2436
TXN500260,CUST20058,199231,4,11,4.8,2281
TXN500261,CUST20408,106382,1,9,0.2,3701
TXN500262,CUST20559,48051,1,13,0.5,3010
TXN500263,CUST20017,298915,2,9,10.9,2835
TXN500264,CUST20225,129074,1,12,1.5,1769
TXN500265,CUST20851,65148,4,13,7.3,1347
TXN500266,CUST20497,31088,1,12,2.2,2873
TXN500267,CUST20309,178515,1,16,7.5,2207
TXN500268,CUST20224,16754,1,11,0.1,2189
TXN500269,CUST20033,44240,1,19,4.0,848
TXN500270,CUST20489,24920,1,14,0.8,2037
TXN500271,CUST20190,30148,2,15,0.4,3717
TXN500272,CUST20592,140925,2,18,2.0,1576
TXN500273,CUST20845,28091,1,12,15.5,1434
TXN500274,CUST20216,350722,1,15,9.0,2105
TXN500275,CUST20795,138243,2,11,0.4,541
TXN500276,CUST20570,53907,1,14,1.1,3508
TXN500277,CUST20217,179507,2,16,2.2,1505
TXN500278,CUST20548,40472,1,15,2.6,307
TXN500279,CUST20005,75070,2,16,5.0,2233
TXN500280,CUST20288,22887,4,12,4.8,3691
TXN500281,CUST20391,155102,1,17,0.5,2371
TXN500282,CUST20885,26893,2,19,1.3,2851
TXN500283,CUST20037,9189,2,9,0.9,2003
TXN500284,CUST20286,440502,1,11,4.2,1750
TXN500285,CUST20821,32109,1,11,3.9,1234
TXN500286,CUST20022,4704,1,20,2.2,1228
TXN500287,CUST20771,44971,1,17,5.2,2540
TXN500288,CUST20391,279934,3,16,2.9,2371
TXN500289,CUST20566,20754,2,17,3.8,1811
TXN500290,CUST20207,35339,1,11,6.3,3310
TXN500291,CUST20570,42178,4,15,0.3,3508
TXN500292,CUST20115,48220,1,11,6.0,2170
TXN500293,CUST20368,39098,1,16,5.9,499
TXN500294,CUST20542,49826,2,20,2.5,2571
TXN500295,CUST20214,42030,3,3,1.9,1992
TXN500296,CUST20541,24467,1,14,3.1,3322
TXN500297,CUST20391,111382,3,9,0.3,2371
TXN500298,CUST20291,155731,1,11,2.1,890
TXN500299,CUST20640,750964,2,2,113.8,850
TXN500300,CUST20266,18525,1,12,0.6,2108
TXN500301,CUST20289,611842,1,4,171.6,500
TXN500302,CUST20026,8063,4,17,4.2,876
TXN500303,CUST20531,25077,3,13,5.1,1907
TXN500304,CUST20601,41161,1,8,5.1,3165
TXN500305,CUST20131,17586,1,18,1.4,2331
TXN500306,CUST20118,12602,1,15,4.1,1831
TXN500307,CUST20816,43525,2,10,2.2,312
TXN500308,CUST20721,62479,1,13,2.3,3503
TXN500309,CUST20037,6642,1,15,1.3,2003
TXN500310,CUST20450,126372,1,19,6.4,809
TXN500311,CUST20106,16455,1,12,0.4,905
TXN500312,CUST20460,108814,1,13,10.3,611
TXN500313,CUST20302,18626,1,15,1.4,803
TXN500314,CUST20778,37581,2,19,9.2,3990
TXN500315,CUST20398,113888,1,10,1.9,1389
TXN500316,CUST20607,143612,1,13,3.1,943
TXN500317,CUST20383,53911,1,19,5.2,59
TXN500318,CUST20366,20063,1,13,2.1,635
TXN500319,CUST20279,25327,1,16,4.0,173
TXN500320,CUST20091,16249,1,14,3.5,1438
TXN500321,CUST20583,33491,1,15,0.0,2977
TXN500322,CUST20766,23704,1,24,1.6,2393
TXN500323,CUST20722,123321,1,15,9.4,703
TXN500324,CUST20378,20524,3,16,0.4,1133
TXN500325,CUST20575,14156,1,2,3.5,393
TXN500326,CUST20566,38026,1,14,0.7,1811
TXN500327,CUST20330,6659,2,7,3.4,2940
TXN500328,CUST20059,395395,1,11,2.2,2114
TXN500329,CUST20721,9963,1,10,3.7,3503
TXN500330,CUST20695,19276,2,11,1.7,2455
TXN500331,CUST20672,18657,2,12,0.4,3658
TXN500332,CUST20206,122232,1,21,0.4,832
TXN500333,CUST20850,12758,1,11,0.2,1946
TXN500334,CUST20144,18172,1,11,2.8,2446
TXN500335,CUST20507,5654,1,13,11.4,2436
TXN500336,CUST20719,35234,1,9,3.8,3678
TXN500337,CUST20414,107080,1,14,5.2,2855
TXN500338,CUST20770,31455,1,16,6.9,1916
TXN500339,CUST20497,45617,1,21,0.4,2873
TXN500340,CUST20594,98414,2,11,0.6,3403
TXN500341,CUST20781,20304,4,12,11.1,673
TXN500342,CUST20094,55036,28,8,23.5,2232
TXN500343,CUST20027,480000,3,10,1.3,3066
TXN500344,CUST20374,118867,1,11,2.5,1043
TXN500345,CUST20527,57114,1,19,0.3,2209
TXN500346,CUST20562,17164,1,12,4.0,1290
TXN500347,CUST20241,47576,1,23,2.9,1539
TXN500348,CUST20083,36196,3,16,14.0,3204
TXN500349,CUST20243,150481,1,18,0.9,1742
TXN500350,CUST20584,30845,1,17,1.0,2382
TXN500351,CUST20532,13843,3,15,3.2,3303
TXN500352,CUST20893,164179,2,12,2.6,3472
TXN500353,CUST20132,15132,1,18,1.4,2125
TXN500354,CUST20842,11887,2,11,1.5,685
TXN500355,CUST20180,31315,1,13,2.7,3019
TXN500356,CUST20160,241699,2,11,1.4,116
TXN500357,CUST20829,34217,1,12,0.8,3313
TXN500358,CUST20425,61292,1,12,2.1,3265
TXN500359,CUST20269,254516,3,17,5.7,1676
TXN500360,CUST20370,50487,2,15,4.8,1341
TXN500361,CUST20774,61829,1,13,2.1,3056
TXN500362,CUST20499,23169,1,21,1.5,3504
TXN500363,CUST20709,19219,1,19,3.1,3050
TXN500364,CUST20116,6053,2,11,2.6,2326
TXN500365,CUST20060,15548,1,17,0.8,1764
TXN500366,CUST20063,17734,1,11,3.5,3678
TXN500367,CUST20399,4815,1,17,0.5,2798
TXN500368,CUST20437,17230,1,15,0.1,3832
TXN500369,CUST20691,7952,1,11,2.3,3630
TXN500370,CUST20195,17482,1,18,1.5,903
TXN500371,CUST20863,13978,2,18,1.2,3858
TXN500372,CUST20318,33023,1,5,7.1,2837
TXN500373,CUST20740,282346,1,15,0.9,3755
TXN500374,CUST20127,400959,1,11,3.2,3954
TXN500375,CUST20733,23030,1,16,11.4,361
TXN500376,CUST20526,57095,4,15,7.3,3657
TXN500377,CUST20738,85954,2,19,10.7,659
TXN500378,CUST20667,16500,4,15,1.9,3534
TXN500379,CUST20185,15024,1,16,6.7,244
TXN500380,CUST20131,11022,1,18,7.9,2331
TXN500381,CUST20681,29737,1,4,3.2,94
TXN500382,CUST20844,477023,1,6,1.9,1224
TXN500383,CUST20648,18436,3,17,1.6,2441
TXN500384,CUST20724,258922,1,14,4.7,736
TXN500385,CUST20380,32124,1,8,0.1,3119
TXN500386,CUST20484,129861,1,13,1.0,1036
TXN500387,CUST20573,18747,1,18,0.5,3794
TXN500388,CUST20326,16045,1,9,5.1,2592
TXN500389,CUST20794,197575,2,17,9.1,1034
TXN500390,CUST20260,371487,1,2,1.5,3920
TXN500391,CUST20460,138830,1,15,2.3,611
TXN500392,CUST20364,27125,1,10,1.7,2081
TXN500393,CUST20372,23747,1,17,1.2,3294
TXN500394,CUST20574,8059,2,14,19.8,1017
TXN500395,CUST20131,17420,2,16,2.9,2331
TXN500396,CUST20574,3648,1,16,1.0,1017
TXN500397,CUST20673,41039,1,5,0.0,1656
TXN500398,CUST20338,331329,2,14,0.6,2263
TXN500399,CUST20188,44149,1,23,6.2,3897
TXN500400,CUST20468,263348,4,15,7.0,478
TXN500401,CUST20818,20000,1,12,4.9,183
TXN500402,CUST20719,45122,1,15,1.1,3678
TXN500403,CUST20510,351031,2,18,0.8,2989
TXN500404,CUST20505,71522,4,18,6.6,425
TXN500405,CUST20258,480000,1,11,0.2,56
TXN500406,CUST20424,15706,1,12,2.5,549
TXN500407,CUST20450,107082,1,15,0.1,809
TXN500408,CUST20596,107822,1,12,2.4,48
TXN500409,CUST20390,79485,1,12,1.6,702
TXN500410,CUST20146,83608,1,15,1.0,1821
TXN500411,CUST20716,34804,1,18,1.0,2989
TXN500412,CUST20528,148541,2,15,4.6,3472
TXN500413,CUST20476,34505,2,12,0.7,660
TXN500414,CUST20128,381203,1,7,2.5,3238
TXN500415,CUST20583,22610,1,13,0.7,2977
TXN500416,CUST20505,45437,1,23,12.2,425
TXN500417,CUST20285,58633,2,11,1.3,110
TXN500418,CUST20147,7311,1,18,2.7,2395
TXN500419,CUST20062,50078,1,13,5.2,3011
TXN500420,CUST20604,34595,1,19,5.2,1508
TXN500421,CUST20781,23983,1,12,0.2,673
TXN500422,CUST20092,25057,1,11,3.8,2634
TXN500423,CUST20669,18510,3,9,2.2,1514
TXN500424,CUST20286,402129,2,11,1.4,1750
TXN500425,CUST20647,76320,1,9,7.6,3137
TXN500426,CUST20247,24799,3,13,1.1,1303
TXN500427,CUST20272,480000,1,22,1.2,3375
TXN500428,CUST20714,21211,3,14,5.4,1874
TXN500429,CUST20120,13147,1,18,13.0,2169
TXN500430,CUST20425,16364,1,7,4.3,3265
TXN500431,CUST20757,47139,2,13,2.4,771
TXN500432,CUST20768,3752836,2,17,0.2,48
TXN500433,CUST20178,28308,1,14,5.3,460
TXN500434,CUST20831,58460,1,15,5.4,2568
TXN500435,CUST20069,26545,1,13,1.7,317
TXN500436,CUST20224,27147,1,14,1.0,2189
TXN500437,CUST20208,480000,1,21,2.5,3040
TXN500438,CUST20631,37354,1,8,3.2,3902
TXN500439,CUST20204,214800,3,12,7.6,2200
TXN500440,CUST20856,22170,4,16,1.6,3137
TXN500441,CUST20764,25533,1,18,6.1,1521
TXN500442,CUST20431,21191,1,19,16.0,1690
TXN500443,CUST20752,18946,1,8,0.5,2331
TXN500444,CUST20473,480000,1,19,0.7,1302
TXN500445,CUST20450,83033,1,19,14.9,809
TXN500446,CUST20793,127843,1,14,1.2,2180
TXN500447,CUST20749,45259,2,13,7.5,2574
TXN500448,CUST20854,41981,1,16,6.4,3413
TXN500449,CUST20499,21291,3,22,0.6,3504
TXN500450,CUST20317,54007,1,13,1.3,459
TXN500451,CUST20609,28282,3,7,0.7,3941
TXN500452,CUST20477,552920,1,2,309.7,2308
TXN500453,CUST20870,20960,1,12,3.0,287
TXN500454,CUST20139,109383,2,16,9.9,3088
TXN500455,CUST20628,12341,1,14,7.1,1574
TXN500456,CUST20190,558614,1,1,223.8,3717
TXN500457,CUST20098,364637,1,15,11.2,2124
TXN500458,CUST20213,17193,1,13,1.1,2609
TXN500459,CUST20859,39886,2,12,0.7,1269
TXN500460,CUST20455,14440,1,15,6.9,76
TXN500461,CUST20491,30426,3,11,1.8,3283
TXN500462,CUST20510,382364,1,17,0.2,2989
TXN500463,CUST20563,9700,3,13,3.3,3560
TXN500464,CUST20145,3067,2,16,7.6,273
TXN500465,CUST20780,7600,1,2,4.8,2614
TXN500466,CUST20814,206426,1,12,2.2,2263
TXN500467,CUST20346,28365,1,10,1.5,1727
TXN500468,CUST20892,16641,1,12,0.6,537
TXN500469,CUST20513,35387,1,17,3.9,271
TXN500470,CUST20470,10777,3,14,11.6,3709
TXN500471,CUST20440,48497,1,9,7.6,3722
TXN500472,CUST20366,19265,3,11,4.4,635
TXN500473,CUST20188,52189,2,10,2.8,3897
TXN500474,CUST20279,22602,1,9,3.5,173
TXN500475,CUST20201,32477,1,17,0.5,911
TXN500476,CUST20233,12862,1,24,2.4,953
TXN500477,CUST20476,35595,1,14,2.6,660
TXN500478,CUST20113,56433,1,13,12.4,2756
TXN500479,CUST20102,32273,1,7,0.2,3155
TXN500480,CUST20149,159146,4,9,1.0,502
TXN500481,CUST20390,36766,1,14,0.7,702
TXN500482,CUST20095,57901,3,10,10.7,2070
TXN500483,CUST20403,480000,1,13,10.3,854
TXN500484,CUST20308,16332,4,14,2.3,1894
TXN500485,CUST20301,226874,1,13,1.4,672
TXN500486,CUST20671,27358,2,18,9.3,1800
TXN500487,CUST20048,42443,2,15,4.0,2281
TXN500488,CUST20830,8760,1,14,0.5,1641
TXN500489,CUST20795,37601,1,8,1.4,541
TXN500490,CUST20754,17421,1,6,1.1,2850
TXN500491,CUST20728,39216,1,6,2.7,542
TXN500492,CUST20841,29331,2,16,2.1,33
TXN500493,CUST20784,46843,1,18,5.2,3215
TXN500494,CUST20506,45832,3,16,2.0,2880
TXN500495,CUST20453,15981,1,11,0.0,653
TXN500496,CUST20260,255618,1,8,2.4,3920
TXN500497,CUST20559,112035,1,14,1.8,3010
TXN500498,CUST20890,32662,1,14,0.8,1384
TXN500499,CUST20536,27386,1,19,5.1,3421
TXN500500,CUST20619,117461,1,16,3.1,2553
TXN500501,CUST20341,40416,1,17,0.9,1554
TXN500502,CUST20216,147709,1,12,0.9,2105
TXN500503,CUST20272,480000,1,14,6.3,3375
TXN500504,CUST20721,29114,1,18,1.7,3503
TXN500505,CUST20272,480000,1,19,4.1,3375
TXN500506,CUST20066,51072,2,19,0.0,2362
TXN500507,CUST20584,33359,4,16,6.6,2382
TXN500508,CUST20406,29597,1,13,4.4,2880
TXN500509,CUST20830,3742,2,0,4.7,1641
TXN500510,CUST20285,103851,1,9,2.4,110
TXN500511,CUST20167,54843,1,15,8.3,188
TXN500512,CUST20550,97221,1,19,2.1,1604
TXN500513,CUST20020,17944,2,19,14.3,3959
TXN500514,CUST20151,6674,3,9,1.9,1001
TXN500515,CUST20316,56300,2,12,0.0,1609
TXN500516,CUST20861,19527,1,14,0.9,3929
TXN500517,CUST20049,417156,1,12,7.0,3531
TXN500518,CUST20175,270343,1,5,3.0,2399
TXN500519,CUST20058,314432,1,12,3.5,2281
TXN500520,CUST20112,33959,1,15,0.6,977
TXN500521,CUST20502,15933,1,18,9.5,3323
TXN500522,CUST20098,202203,1,22,7.2,2124
TXN500523,CUST20278,28698,2,13,0.2,921
TXN500524,CUST20081,51736,1,12,5.1,672
TXN500525,CUST20109,61569,4,10,8.4,890
TXN500526,CUST20667,17368,1,20,9.1,3534
TXN500527,CUST20418,41091,4,13,5.4,2636
TXN500528,CUST20047,15858,1,18,2.3,350
TXN500529,CUST20199,21428,1,16,1.5,2953
TXN500530,CUST20268,460882,2,24,3.5,1677
TXN500531,CUST20580,66716,2,12,5.0,1611
TXN500532,CUST20735,31785,4,23,3.7,1579
TXN500533,CUST20426,11983,3,20,1.2,3960
TXN500534,CUST20762,129115,1,16,1.4,2733
TXN500535,CUST20597,61109,1,14,5.9,2421
TXN500536,CUST20276,10514,3,15,2.2,1220
TXN500537,CUST20611,17975,1,14,2.7,2833
TXN500538,CUST20094,23934,28,8,21.4,2232
